Date,Platform,₹,Platform,Spends,Expense
03/11/2025,Domain,₹549,Domain,₹549,"₹96,822"
01/11/2025,Followers,₹256,Followers,₹391,
03/11/2025,Shopify,₹20,Shopify,₹20,
03/11/2025,Canva,₹69,Canva,₹69,
04/11/2025,,,Meta,"₹44,653",
05/11/2025,,,sr-checkout,"₹6,185",
06/11/2025,,,Sim Card,₹350,
07/11/2025,,,DEL,"₹19,890",
08/11/2025,,,UMA,"₹24,015",
09/11/2025,,,Xpressbees,₹700,
10/11/2025,Meta,"₹1,000",,,
11/11/2025,sr-checkout,₹500,,,
12/11/2025,,,,,
13/11/2025,,,,,
14/11/2025,,,,,
15/11/2025,Meta,"₹1,000",,,
15/11/2025,Meta,"₹2,000",,,
16/11/2025,Meta,"₹1,000",,,
17/11/2025,,,,,
18/11/2025,Meta,"₹1,000",,,
18/11/2025,Sim Card,₹350,,,
19/11/2025,Meta,"₹1,000",,,
19/11/2025,sr-checkout,₹500,,,
20/11/2025,Meta,"₹1,000",,,
21/11/2025,Meta,"₹1,000",,,
22/11/2025,Meta,₹82,,,
23/11/2025,Meta,"₹1,000",,,
23/11/2025,Meta,"₹1,000",,,
24/11/2025,Meta,₹100,,,
25/11/2025,Meta,"₹1,000",,,
25/11/2025,Meta,₹100,,,
25/11/2025,Meta,"₹1,000",,,
25/11/2025,sr-checkout,₹500,,,
26/11/2025,Meta,"₹1,000",,,
27/11/2025,,,,,
28/11/2025,Meta,"₹1,000",,,
28/11/2025,DEL,"₹1,000",,,
29/11/2025,Meta,"₹1,000",,,
29/11/2025,Meta,"₹1,000",,,
29/11/2025,sr-checkout,"₹1,000",,,
29/11/2025,UMA,"₹1,000",,,
30/11/2025,Meta,"₹1,000",,,
01/12/2025,Meta,₹371,,,
01/12/2025,Meta,"₹3,200",,,
01/12/2025,DEL,"₹2,500",,,
01/12/2025,UMA,"₹2,375",,,
02/12/2025,,,,,
03/12/2025,,,,,
04/12/2025,UMA,"₹3,250",,,
04/12/2025,DEL,"₹3,585",,,
04/12/2025,Meta,"₹1,500",,,
05/12/2025,Meta,"₹1,200",,,
05/12/2025,DEL,₹400,,,
05/12/2025,UMA,₹875,,,
06/12/2025,Meta,"₹1,000",,,
06/12/2025,DEL,₹500,,,
06/12/2025,UMA,"₹1,000",,,
07/12/2025,Meta,"₹1,500",,,
07/12/2025,DEL,₹500,,,
08/12/2025,Meta,"₹1,000",,,
08/12/2025,UMA,"₹1,750",,,
08/12/2025,sr-checkout,"₹1,037",,,
09/12/2025,Meta,"₹1,000",,,
09/12/2025,Xpressbees,₹700,,,
10/12/2025,UMA,"₹1,000",,,
10/12/2025,Meta,"₹1,000",,,
11/12/2025,UMA,"₹1,500",,,
11/12/2025,Meta,"₹1,500",,,
12/12/2025,DEL,₹800,,,
12/12/2025,Meta,"₹1,500",,,
12/12/2025,UMA,"₹1,375",,,
12/12/2025,Followers,₹135,,,
13/12/2025,Meta,"₹2,000",,,
14/12/2025,UMA,"₹1,875",,,
14/12/2025,Meta,"₹1,000",,,
14/12/2025,DEL,"₹1,238",,,
15/12/2025,Meta,"₹1,000",,,
15/12/2025,Meta,₹500,,,
16/12/2025,DEL,₹800,,,
16/12/2025,UMA,"₹2,375",,,
17/12/2025,Meta,₹800,,,
18/12/2025,Meta,₹800,,,
18/12/2025,sr-checkout,"₹2,000",,,
18/12/2025,DEL,"₹2,668",,,
18/12/2025,UMA,"₹3,375",,,
19/12/2025,DEL,₹800,,,
20/12/2025,Meta,"₹1,000",,,
21/12/2025,Meta,"₹1,000",,,
22/12/2025,DEL,"₹3,600",,,
22/12/2025,UMA,"₹1,750",,,
22/12/2025,UMA,₹515,,,
26/12/2025,DEL,₹500,,,
29/12/2025,DEL,"₹1,000",,,
29/12/2025,sr-checkout,₹648,,,
29/12/2025,Meta,"₹1,000",,,
30/12/2025,Meta,"₹1,000",,,
31/12/2025,Meta,"₹1,500",,,